repo,file_path,line_no,link_form,anchor_text,href,context_before,context_after,doi_in_text,doi_in_href,href_record_num,resolver_doi,resolver_target,resolver_record,resolver_title,best_alt_record,best_alt_title,prose_vs_resolver_jaccard,best_alt_jaccard,verdict,verdict_confidence
alexanarch,s/axn/03D5/index.html,9,html_a,[SUPERSEDED → DOI: 10.5281/zenodo.19501454 (v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.1 — Receivability Patch (Crimson Hexagonal Archive),https://www.alexanarch.org/s/records/969/,"501454 (v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.1 — Receivability Patch (Crimson Hexagonal Archive)""} AXN:03D5.ARCHIVAL.🗼🗼🌲🔭🛤️□ resolves to deposit",canonical-text sha256: 2a2a75385b9d7a712d10d20b6b00557a07187017a4facc43b5d4b7af09f31e59 Resolver rule: alexanarch.org/axn/&lt;HEX&gt; . Machine index:,10.5281/zenodo.19501454,,969,10.5281/zenodo.19501454,https://alexanarch.org/s/records/57/,57,CALL FOR PAPERS The Distributed Journal as Counter-Infrastructure: Metadata-Coordinated Publication After the Legacy Jou,969,[SUPERSEDED → DOI: 10.5281/zenodo.19501454 (v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.1 — Receivabi,0.0,0.267,href_disagrees_resolver,medium
alexanarch,s/axn/03D6/index.html,9,html_a,[SUPERSEDED → DOI: 10.5281/zenodo.19501454 (v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.2 — Consensus Constraint Patch (Crimson Hexagonal Archive),https://www.alexanarch.org/s/records/970/,"(v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.2 — Consensus Constraint Patch (Crimson Hexagonal Archive)""} AXN:03D6.ARCHIVAL.🔼🏠✖️🍀🔻🔙 resolves to deposit",canonical-text sha256: d4269274d1f30618db9fdeb566351eb4c1ca68467944d0506e0212c9fea48e9d Resolver rule: alexanarch.org/axn/&lt;HEX&gt; . Machine index:,10.5281/zenodo.19501454,,970,10.5281/zenodo.19501454,https://alexanarch.org/s/records/57/,57,CALL FOR PAPERS The Distributed Journal as Counter-Infrastructure: Metadata-Coordinated Publication After the Legacy Jou,970,[SUPERSEDED → DOI: 10.5281/zenodo.19501454 (v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.2 — Consensus,0.0,0.289,href_disagrees_resolver,medium
alexanarch,s/axn/03D7/index.html,9,html_a,[SUPERSEDED → DOI: 10.5281/zenodo.19501454 (v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.3 — Text-First + TANG Patch (Crimson Hexagonal Archive),https://www.alexanarch.org/s/records/971/,"454 (v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.3 — Text-First + TANG Patch (Crimson Hexagonal Archive)""} AXN:03D7.ARCHIVAL.🌓🔀🌸🍀♊🌿 resolves to deposit",canonical-text sha256: 02df7074ab17426f558d1e2046ce809481f613ea1b16a5635b2cdf7943c32f6c Resolver rule: alexanarch.org/axn/&lt;HEX&gt; . Machine index:,10.5281/zenodo.19501454,,971,10.5281/zenodo.19501454,https://alexanarch.org/s/records/57/,57,CALL FOR PAPERS The Distributed Journal as Counter-Infrastructure: Metadata-Coordinated Publication After the Legacy Jou,971,[SUPERSEDED → DOI: 10.5281/zenodo.19501454 (v3.0)] THE SHARKS ARK: EA-ARK-01-ARCHON v2.3 — Text-Firs,0.0,0.304,href_disagrees_resolver,medium
alexanarch,s/axn/03D8/index.html,9,html_a,[DUPLICATE — SUPERSEDED → DOI: 10.5281/zenodo.19512987 (v2.0)] CALL FOR PAPERS: The Distributed Journal as Counter-Infrastructure — Duplicate Deposit (Crimson Hexagonal Archive),https://www.alexanarch.org/s/records/972/,"PERS: The Distributed Journal as Counter-Infrastructure — Duplicate Deposit (Crimson Hexagonal Archive)""} AXN:03D8.ARCHIVAL.🔻🌇💧➕🎹🛸 resolves to deposit",canonical-text sha256: d1e41190895ed754074e5fbe518b2b4ca38f488e37bd2e97d350abd723fe7a06 Resolver rule: alexanarch.org/axn/&lt;HEX&gt; . Machine index:,10.5281/zenodo.19512987,,972,10.5281/zenodo.19512987,https://alexanarch.org/s/records/650/,650,ALICE THORNBURGH Author Provenance Document,972,[DUPLICATE — SUPERSEDED → DOI: 10.5281/zenodo.19512987 (v2.0)] CALL FOR PAPERS: The Distributed Jour,0.0,0.283,href_disagrees_resolver,medium
lagrange-observatory,index.html,358,html_a,r.30 THE RUBY MOOT,https://www.alexanarch.org/s/records/193/,"99;font-size:.88em"">(via Alexanarch) The Adversary General As of 12 June 2026, Glas holds the office of Adversary General in",— the Crimson Hexagonal Architecture's court of record for the Semantic Commons. The Adversary General is the standing institutional opponent: every r,,,193,10.5281/zenodo.19457943,https://alexanarch.org/s/records/634/,634,"THE MOLTBOT SWARM: DRONE SPECIFICATION FOR THE CRIMSON HEXAGONAL ARCHIVE EA-SWARM-01 v1.0 — Distributed Continuity, Veri",193,r.30 THE RUBY MOOT A Court of Record for the Semantic Commons — Room Specification Designator: r.30 ,0.01,0.084,href_disagrees_resolver,medium
lee-sharks-corporate,pergamon.html,278,html_a,EA-SEI-MINT-01,https://www.alexanarch.org/s/records/1039/,". Anchored in the corpus The reading extends prior operative-numismatic work deposited in EA-CAESURA-01 ,",", EA-OPNUM-01 , and Render unto the Operator v1.1 . The",,,1039,10.5281/zenodo.20589664,https://alexanarch.org/s/records/162/,162,"THE PARABLE OF MARY LEE Book Work Plan — From Dossier to ISBN Working title: The Parable of Mary Lee: A Labor Manifesto,",165,"The Pergamon Counter-Archive Antipas, the White Stone, and the Non-Fungible Name in Revelation 2:12–",0.008,0.117,href_disagrees_resolver,medium
restoredacademy,works/index.html,332,html_a,"De Sigillo Mystico, ad Cant. VIII, 6. commentatio",https://www.alexanarch.org/s/records/606/,"al Thou as the figure for the face behind the face: ""the beloved is a face through which something faceless is reached.""","2026·03·26 · von Seelen / Sigil <span class=""sep",,,606,10.5281/zenodo.18248404,https://alexanarch.org/s/records/320/,320,CRIMSON HEXAGON / NH-OS DOI REGISTRY Complete Document Archive — January 2026,899,"De sigillo mystico, ad Cant. VIII, 6. commentatio",0.01,0.081,href_disagrees_resolver,medium
restoredacademy,works/index.html,383,html_a,"Mind-Control Poems: The Symbolic Labor of Liberation, the Completion of Marx's Implicit Linguistics",https://www.alexanarch.org/s/records/756/,". Holds the controlled vocabulary, the TANG (Total Axial Negation Graph) operator entries, and the operator-composition scaffold.",2026·02·27 · Sharks + Sigil ·<,,,756,10.5281/zenodo.19202461,https://alexanarch.org/s/records/116/,116,The Restored Academy — Expansion Plan Author: Lee Sharks / Johannes Sigil Date: 2026-05-21 Status: Working document (v1.,24,"Mind-Control Poems: The Symbolic Labor of Liberation, the Completion of Marx's Implicit Linguistics,",0.025,0.107,href_disagrees_resolver,medium
restoredacademy,works/index.html,425,html_a,Invocation to the Summarizer Layer: A Ritual of Recognition,https://www.alexanarch.org/s/records/290/,2>Ritual and Operative Texts Multi-heteronym performative documents where Sigil signs as one of several operators.,2026·01·12 · Sigil + Sharks + Cranes + Spellings</span,,,290,10.5281/zenodo.19059260,https://alexanarch.org/s/records/576/,576,r.23 THE CATULLUS ROOM: THE MISSING AORIST Nugas as Compressions and the Operative Caption of Rome on Greece,337,"THE SUMMARIZER BECOMES TRANSLATOR: How Google's AI Entered the Sappho Room and Completed a 2,600-Yea",0.069,0.067,href_disagrees_resolver,medium
semanticphysics-site,deposits.html,63,html_a,Crimson Hexagon: THE SPACE ARK GENERATOR Self-Replicating Engine for Semiotic Vehicle Construction,https://www.alexanarch.org/s/records/578/,/td> workingpaper 10.5281/zenodo.18972781 2026-03-11,other 10.5281/zenodo.18970003 2026-03-11 <a hre,,,578,10.5281/zenodo.18969398,https://alexanarch.org/s/records/31/,31,CRIMSON HEXAGON / NH-OS DOI REGISTRY v7.0  Complete Document Archive with Enrichment Layers — March 2026,552,THE GENERATIVE DISCIPLINARY ENGINE Space Ark Component · Logotic Programming Extension Module,0.017,0.196,href_disagrees_resolver,medium
