deposit_number,axn,registry_title,observed_body_subject,severity,registration_disposition,identity_status,restoration_status,conflict_status,lifecycle_status,defect_codes,registry_creator,observed_byline,registry_version,observed_body_version,manifestation_status,evidence,recommendation,batch_action,review_status
499,AXN:013E,Autonomous Semantic Warfare: A Field Manual for Meaning in the Age of Platform Capture,Autonomous Semantic Warfare: A Field Manual for Meaning in the Age of Platform Capture,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-013E-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Replace or qualify content_type: `Dataset` → `Book / monograph`; retain the former value in the modification history.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
500,AXN:0140,"From House to Hexagon: Mediation Architecture, the Operative Sublime, and the Genealogy of the Reader-Operator","From House to Hexagon: Mediation Architecture, the Operative Sublime, and the Genealogy of the Reader-Operator",OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0140-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
501,AXN:0142,"The Liquidation of Method: A Liberation Philology of the Sign ""Marx""","The Liquidation of Method: A Liberation Philology of the Sign ""Marx""",OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0142-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
502,AXN:0144,"Whose Face Is on the Twenty? Curatorial Mediation, Latent Feature Activation, and a Provenance Gap in the $20 Portrait R","Whose Face Is on the Twenty? Curatorial Mediation, Latent Feature Activation, and a Provenance Gap in the $20 Portrait",P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],,,,,REFERENCED_NOT_INDEPENDENTLY_VERIFIED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0144-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Publish the complete body title and retain the truncated/published variant as an alternate title with provenance. Determine whether #502 and #509 are concept/version, revision, or duplicate records; add a bidirectional relation and canonical-standing declaration. Add a manifestation inventory with role, media type, URL/path, availability, and checksum; preserve external images locally where lawful and feasible.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
503,AXN:0146,Phase X: The Sapphic Substrate,Phase X: The Sapphic Substrate,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0146-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Record the work as a scholarly-creative intervention rather than poetry alone.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
504,AXN:0147,Visual Schema — Moving Statues Made of Rubies Mind (MSMRM),Visual Schema — Moving Statues Made of Rubies Mind (MSMRM),P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,REFERENCED_NOT_INDEPENDENTLY_VERIFIED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0147-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Add a manifestation inventory with role, media type, URL/path, availability, and checksum; preserve external images locally where lawful and feasible.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
505,AXN:0148,Charter of the Moving Statues Made of Rubies Mint,Charter of the Moving Statues Made of Rubies Mint,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0148-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
506,AXN:0149,The Inauguration of Memography,The Inauguration of Memography,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0149-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
507,AXN:014A,All the Spoils of Babylon,All the Spoils of Babylon,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,REFERENCED_NOT_INDEPENDENTLY_VERIFIED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-014A-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Add a manifestation inventory with role, media type, URL/path, availability, and checksum; preserve external images locally where lawful and feasible.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
508,AXN:014B,The Lizard People Were Right,The Lizard People Were Right,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-014B-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
