term,category,present_in_high,present_in_low,note
semantic entropy,archive coinage,yes,no,"Google AI Overview composed with it; Grok did not"
ghost meaning,archive coinage,yes,no,
corpus depletion,archive coinage,yes,no,
Fractal Navigation Map,archive coinage,yes,no,named as the infrastructure's distinguishing feature in the high composition
operator algebra,archive coinage,yes,no,
bearing-cost,archive coinage,yes,no,"the high composition offered to 'calculate exact bearing-cost ratios under the FNM'"
cognitive rent,archive coinage,yes,no,
sovereign custodianship,archive coinage,yes,no,
platform capture,archive coinage,yes,no,
participant exhaustion,archive coinage,yes,no,
infrastructure-monopoly framework,archive coinage,yes,no,the high composition's stated valuation frame
AXN,archive identifier,yes,yes,present in both
provenance,shared,yes,yes,ordinary term in both
CC BY 4.0,shared,yes,yes,identified as the exclusivity discount in both
open knowledge tools,field comparable,no,yes,
niche research platforms,field comparable,no,yes,
experimental hypertext,field comparable,no,yes,
replacement cost,field comparable,no,yes,
transferability discount,field comparable,no,yes,"the low composition's stated risk; the high composition has no risk schedule"
founder concentration,field comparable,no,yes,
under-monetized relative to development effort,field comparable,no,yes,the low composition's honest line
