deposit_number,axn,registry_title,observed_body_subject,work_locus,identity_status,restoration_status,conflict_status,severity,evidence,recommendation,projection_status,repair_priority,bibliographic_type_status,registry_content_type,recommended_content_type,creator_role_status,registry_creator,observed_byline,title_status,version_identity_status,registry_version,observed_body_version,manifestation_status,date_status,body_declaration_status,review_status,canonical_match_basis,audit_snapshot_commit,audit_date,oai_recommendation,license_status,batch_action,audit_history,registration_disposition,registration_disposition_reason,lifecycle_state,lifecycle_note,lifecycle_basis,lifecycle_confidence,lifecycle_status,standing_basis,relations,defect_codes,migration_provenance
499,AXN:013E,Autonomous Semantic Warfare: A Field Manual for Meaning in the Age of Platform Capture,Autonomous Semantic Warfare: A Field Manual for Meaning in the Age of Platform Capture,INLINE_TEXT_BOOK,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,P2,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-013E-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Replace or qualify content_type: `Dataset` → `Book / monograph`; retain the former value in the modification history.,REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R2,CONFLICT,Dataset,Book / monograph,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST_WITH_WARNING,Material metadata or relation conflict must be corrected or explicitly declared before unqualified harvest.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
500,AXN:0140,"From House to Hexagon: Mediation Architecture, the Operative Sublime, and the Genealogy of the Reader-Operator","From House to Hexagon: Mediation Architecture, the Operative Sublime, and the Genealogy of the Reader-Operator",INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,OK,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0140-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R3,ACCURATE_OR_COMPATIBLE,,,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST,Legacy non-blocking harvest adjudication.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
501,AXN:0142,"The Liquidation of Method: A Liberation Philology of the Sign ""Marx""","The Liquidation of Method: A Liberation Philology of the Sign ""Marx""",INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,OK,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0142-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R3,ACCURATE_OR_COMPATIBLE,,,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST,Legacy non-blocking harvest adjudication.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
502,AXN:0144,"Whose Face Is on the Twenty? Curatorial Mediation, Latent Feature Activation, and a Provenance Gap in the $20 Portrait R","Whose Face Is on the Twenty? Curatorial Mediation, Latent Feature Activation, and a Provenance Gap in the $20 Portrait",COMPOSITE,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,P2,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0144-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Publish the complete body title and retain the truncated/published variant as an alternate title with provenance. Determine whether #502 and #509 are concept/version, revision, or duplicate records; add a bidirectional relation and canonical-standing declaration. Add a manifestation inventory with role, media type, URL/path, availability, and checksum; preserve external images locally where lawful and feasible.",REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R2,ACCURATE_OR_COMPATIBLE,,,NO_MATERIAL_CONFLICT_OBSERVED,,,CONFLICT,AMBIGUOUS_VERSION,,,REFERENCED_NOT_INDEPENDENTLY_VERIFIED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST_WITH_WARNING,Material metadata or relation conflict must be corrected or explicitly declared before unqualified harvest.,UNDETERMINED,VERSION_RELATION_UNMODELED,AUDIT_INFERENCE,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: AUDIT_INFERENCE"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""VERSION_RELATION_UNMODELED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
503,AXN:0146,Phase X: The Sapphic Substrate,Phase X: The Sapphic Substrate,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,P3,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0146-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Record the work as a scholarly-creative intervention rather than poetry alone.,REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R3,HYBRID_UNDERDESCRIBED,,,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST,Legacy non-blocking harvest adjudication.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
504,AXN:0147,Visual Schema — Moving Statues Made of Rubies Mind (MSMRM),Visual Schema — Moving Statues Made of Rubies Mind (MSMRM),COMPOSITE,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,P3,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0147-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Add a manifestation inventory with role, media type, URL/path, availability, and checksum; preserve external images locally where lawful and feasible.",REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R3,ACCURATE_OR_COMPATIBLE,,,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,REFERENCED_NOT_INDEPENDENTLY_VERIFIED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST,Legacy non-blocking harvest adjudication.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
505,AXN:0148,Charter of the Moving Statues Made of Rubies Mint,Charter of the Moving Statues Made of Rubies Mint,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,OK,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0148-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R3,ACCURATE_OR_COMPATIBLE,,,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST,Legacy non-blocking harvest adjudication.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
506,AXN:0149,The Inauguration of Memography,The Inauguration of Memography,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,OK,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0149-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R3,ACCURATE_OR_COMPATIBLE,,,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST,Legacy non-blocking harvest adjudication.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
507,AXN:014A,All the Spoils of Babylon,All the Spoils of Babylon,COMPOSITE,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,P3,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-014A-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Add a manifestation inventory with role, media type, URL/path, availability, and checksum; preserve external images locally where lawful and feasible.",REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R3,ACCURATE_OR_COMPATIBLE,,,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,REFERENCED_NOT_INDEPENDENTLY_VERIFIED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST,Legacy non-blocking harvest adjudication.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
508,AXN:014B,The Lizard People Were Right,The Lizard People Were Right,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,OK,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-014B-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,REGISTRY_BODY_PARITY_CHECKED_OAI_PENDING,R3,ACCURATE_OR_COMPATIBLE,,,NO_MATERIAL_CONFLICT_OBSERVED,,,MATCH,NO_CONFLICT_OBSERVED,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Internal title/subject and front-matter identity agree with registry claim.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-07-31,"Expose the audit capsule in dc:description; map type, creator roles, versions, relations, and manifestations explicitly. Individual OAI record parity remains pending for this batch.",NOT_YET_AUDITED,PRIOR_BATCH_ROW,[],HARVEST,Legacy non-blocking harvest adjudication.,UNDETERMINED,NO_LIFECYCLE_DEFECT_OBSERVED,NO_DEFECT_OBSERVED,UNDETERMINED,UNKNOWN,"[""legacy lifecycle basis: NO_DEFECT_OBSERVED"", ""legacy lifecycle confidence: UNDETERMINED""]",{},[],"{""cumulative_merge_version"": ""0.9"", ""historical_batch_action"": ""PRIOR_BATCH_ROW"", ""lifecycle_note_preserved"": ""NO_LIFECYCLE_DEFECT_OBSERVED"", ""lifecycle_state_legacy"": ""UNDETERMINED"", ""review_status_preserved"": ""FRONTMATTER_AND_IDENTITY_READ"", ""source_ledger"": ""alexanarch_audit_ledger_v1.0.json""}"
