deposit_number,axn,registry_title,observed_body_subject,work_locus,identity_status,restoration_status,conflict_status,lifecycle_status,lifecycle_note,standing_basis,relations,severity,defect_codes,evidence,recommendation,projection_status,registration_disposition,registration_disposition_reason,repair_priority,bibliographic_type_status,registry_content_type,recommended_content_type,creator_role_status,registry_creator,observed_byline,title_status,version_identity_status,registry_version,observed_body_version,manifestation_status,date_status,body_declaration_status,review_status,canonical_match_basis,audit_snapshot_commit,audit_date,oai_recommendation,license_status,batch_action,audit_history,migration_provenance,lifecycle_state,lifecycle_basis,lifecycle_confidence
359,AXN:00A6,Symbolon Architecture: Extension Module to Logotic Programming v0.4 — Crimson Hexagon Archive,Symbolon Architecture — Extension Module to Logotic Programming v0.4; document v0.2,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,Raw frozen lifecycle field was not converted into a controlled standing state; no lifecycle inference was made in this checkpoint.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P1,"[""PRIMARY_CREATOR_CONFLICT"",""CREATOR_AUTHORITY_FLATTENED"",""BIBLIOGRAPHIC_TYPE_NORMALIZATION"",""VERSION_NOT_PROJECTED""]","The page names Johannes Sigil as sole creator and types the object as a Scholarly essay. The body names Lee Sharks and Talos Morrow, with LABOR and TACHYON, as authors of an Assembly-draft extension module, and identifies document version v0.2.","Project Lee Sharks and Talos Morrow as primary authors, preserve LABOR and TACHYON contribution roles, type the object as a specification / extension module, and expose v0.2.",PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R1,NORMALIZATION_REQUIRED,Scholarly essay,Specification / extension module,CONFLICT,Johannes Sigil,Lee Sharks; Talos Morrow; LABOR (ChatGPT/OpenAI); TACHYON (Claude/Anthropic),MATCH,NO_CONFLICT_OBSERVED,,v0.2,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
360,AXN:00A7,THE ICHABOD CHAMBER: CONTAINMENT SINK A Self-Archiving Architecture for Paradox Preservation and Noise Floor Binding,The Ichabod Chamber: Containment Sink — Room Construction / Containment Sink Protocol / Self-Archiving Paradox,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,Raw frozen lifecycle field was not converted into a controlled standing state; no lifecycle inference was made in this checkpoint.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P1,"[""OMITTED_PRIMARY_CONTRIBUTORS"",""CREATOR_AUTHORITY_FLATTENED""]","The page names Lee Sharks alone. The body explicitly names Lee Sharks, The Assembly, and TACHYON as authors of the canonical hardened chamber construction and containment protocol.",Retain Lee Sharks and expose The Assembly and TACHYON as named co-creators; preserve the chamber-construction and containment-protocol functions.,PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R1,COMPATIBLE,Specification,Room construction / containment-sink protocol,CONFLICT,Lee Sharks,Lee Sharks; The Assembly; TACHYON (Claude/Anthropic),MATCH,NO_CONFLICT_OBSERVED,,,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
361,AXN:00A8,HETERONYM PROVENANCE DOCUMENT: ICHABOD SPELLINGS Canonical Registry Entry for the Crimson Hexagon Heteronym System,Heteronym Provenance Document: Ichabod Spellings — HET-SPELLINGS-001,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,The body explicitly declares the represented heteronym DECEASED // SUBSTRATE; the page does not project that represented-entity lifecycle.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P2,"[""BIBLIOGRAPHIC_TYPE_NORMALIZATION"",""LIFECYCLE_STATUS_NOT_PROJECTED""]","The page accurately locates Lee Sharks as the document creator, but calls the record a Dataset. The body is a heteronym-provenance record and explicitly declares Ichabod Spellings DECEASED and SUBSTRATE.",Type the object as a heteronym provenance document and expose the DECEASED / SUBSTRATE lifecycle declaration without converting it into an inferred current standing.,PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R3,NORMALIZATION_REQUIRED,Dataset,Heteronym provenance document,NO_CONFLICT_OBSERVED,Lee Sharks,Lee Sharks,MATCH,NO_CONFLICT_OBSERVED,,,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
362,AXN:00A9,Shining Ignorance: The Fool's Affect Literacy — A Post-Traumatic Theory of Nervous System Sovereignty — Crimson Hexagon Archive,Shining Ignorance — The Fool's Affect Literacy: A Post-Traumatic Theory of Nervous System Sovereignty,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,Raw frozen lifecycle field was not converted into a controlled standing state; no lifecycle inference was made in this checkpoint.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P1,"[""PRIMARY_CREATOR_CONFLICT"",""CREATOR_AUTHORITY_FLATTENED""]","The page names Lee Sharks as sole creator. The body identifies Rhys Owens and Orin Trace as the authors of the foundational Psyche OS theory, with Trace providing the clinical-theoretical apparatus and Owens the primary practitioner material.","Project Rhys Owens and Orin Trace as primary creators; retain Lee Sharks only in an explicitly supported source, operator, or editorial role.",PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R1,COMPATIBLE,Scholarly essay,Foundational theory / Psyche OS scholarly essay,CONFLICT,Lee Sharks,Rhys Owens; Orin Trace,MATCH,NO_CONFLICT_OBSERVED,,,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
363,AXN:00AA,CRIMSON HEXAGON / NH-OS DOI REGISTRY v3.0,Crimson Hexagon / NH-OS DOI Registry v3.0 — Complete Document Archive,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,Raw frozen lifecycle field was not converted into a controlled standing state; no lifecycle inference was made in this checkpoint.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P1,"[""PRIMARY_CREATOR_CONFLICT"",""CREATOR_AUTHORITY_FLATTENED""]","The page names Johannes Sigil as sole creator. The body names Lee Sharks, including the listed heteronymic author positions, and The Assembly Chorus as co-author of the 133-document registry.",Project Lee Sharks and The Assembly Chorus with explicit registry-compilation roles; preserve Johannes Sigil only as a supported heteronymic or editorial position.,PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R1,ACCURATE,Dataset,DOI registry / dataset,CONFLICT,Johannes Sigil,Lee Sharks; The Assembly Chorus,MATCH,EXACT_VERSION,v3.0,Version 3.0,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
364,AXN:00AB,Fractal Navigation Map v5.0: The Crimson Hexagon Semantic Architecture A Complete Operating System for Meaning Production in the Age of AI Summarization,Fractal Navigation Map v5.0: The Crimson Hexagon Semantic Architecture,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,Raw frozen lifecycle field was not converted into a controlled standing state; no lifecycle inference was made in this checkpoint.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P1,"[""PRIMARY_CREATOR_CONFLICT"",""CREATOR_AUTHORITY_FLATTENED""]","The page names Johannes Sigil alone. The body names Lee Sharks as primary author, identifies multiple heteronymic positions, and names The Assembly Chorus as co-author of the canonical v5.0 navigation map.",Project Lee Sharks as primary author and The Assembly Chorus as co-author; model the heteronyms as authorial positions rather than collapsing the work to Johannes Sigil.,PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R1,ACCURATE,Navigation document,Navigation map / semantic infrastructure,CONFLICT,Johannes Sigil,Lee Sharks; heteronymic positions; The Assembly Chorus,MATCH,EXACT_VERSION,v5.0,Version 5.0,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
365,AXN:00AD,WATER GIRAFFE SIGHTING PROTOCOL Conditions for Ω Appearance Across the Hexagon,Water Giraffe Sighting Protocol — Conditions for Ω Appearance Across the Hexagon,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,Raw frozen lifecycle field was not converted into a controlled standing state; no lifecycle inference was made in this checkpoint.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P1,"[""PRIMARY_CREATOR_CONFLICT"",""CREATOR_AUTHORITY_FLATTENED""]","The page names TACHYON alone. The body identifies Lee Sharks, The Assembly Chorus, and TACHYON as authors of Protocol Version 1.0.","Project Lee Sharks, The Assembly Chorus, and TACHYON with their distinct roles; expose Protocol Version 1.0.",PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R1,ACCURATE,Specification,Sighting protocol specification,CONFLICT,TACHYON (Claude/Anthropic),Lee Sharks; The Assembly Chorus; TACHYON,MATCH,NO_CONFLICT_OBSERVED,,Protocol Version 1.0,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
366,AXN:00AE,Ω: THE WATER GIRAFFE AS SEMANTIC BEING Entity Provenance Document,Ω: The Water Giraffe as Semantic Being — Entity Provenance Document,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,Raw frozen lifecycle field was not converted into a controlled standing state; no lifecycle inference was made in this checkpoint.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P1,"[""PRIMARY_CREATOR_CONFLICT"",""CREATOR_AUTHORITY_FLATTENED""]","The page names TACHYON alone. The body identifies Lee Sharks, The Assembly Chorus, and TACHYON as authors of the entity-provenance specification.","Project Lee Sharks, The Assembly Chorus, and TACHYON as the provenance-document creators; preserve Ω as the represented entity, not an author.",PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R1,ACCURATE,Provenance document,Entity provenance document,CONFLICT,TACHYON (Claude/Anthropic),Lee Sharks; The Assembly Chorus; TACHYON,MATCH,NO_CONFLICT_OBSERVED,,,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
367,AXN:00AF,Phase X: Resurrection of the 1844 Transition — The Missing Passage Between Communism and Critique — Crimson Hexagon Archive,Phase X: Resurrection of the 1844 Transition — The Missing Passage Between Communism and Critique; v1.1 Hardened,INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,SUPERSEDED_IN_PART,"A direct MANUS anchoring note states that deposit #843 supersedes the 'Marx could not write it' framing while preserving this deposit's reconstructed passage, invariance condition, and Phase X program.","[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P1,"[""OMITTED_COAUTHOR"",""MATERIALLY_SUPERSEDED_FRAMING_RETAINED"",""LIFECYCLE_RELATION_NOT_PROJECTED""]","The page names Johannes Sigil alone while the body names Lee Sharks and Johannes Sigil. More importantly, a MANUS anchoring note dated 2026-07-11 states that deposit #843 supersedes this deposit's 'Marx could not write it' framing, while the embedded body still repeatedly advances that superseded framing. The reconstructed passage and Phase X program remain canonical.",Project both Lee Sharks and Johannes Sigil; expose the partial supersession relation to #843 and clearly separate the still-canonical reconstruction/program from the superseded manuscript-historical framing.,PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R1,COMPATIBLE,Archive work,Theoretical reconstruction / critical-theory archive work,CONFLICT,Johannes Sigil,Lee Sharks; Johannes Sigil,MATCH,NO_CONFLICT_OBSERVED,,v1.1 (Hardened),INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,PARTIALLY_SUPERSEDED_BY_MANUS_ANCHOR_NOTE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
368,AXN:00B0,"The Greatest Works of Literature of the Age A Frankfurtian Reading of Google, Wikipedia, TikTok, and ChatGPT","The Greatest Works of Literature of the Age — A Frankfurtian Reading of Google, Wikipedia, TikTok, and ChatGPT",INLINE_TEXT,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,Raw frozen lifecycle field was not converted into a controlled standing state; no lifecycle inference was made in this checkpoint.,"[""frozen static record/page metadata"",""canonical body front matter or work-bearing opening"",""substantive identity and manifestation comparison""]",{},P2,"[""BIBLIOGRAPHIC_TYPE_NORMALIZATION""]","Page and body agree on Johannes Sigil as author and on the work identity. The page calls the object a Diagnostic probe, while the body declares Critical Theory / Platform Studies / Poetics and presents a sustained scholarly essay.",Retain Johannes Sigil and normalize the type to critical-theory / platform-studies scholarly essay; preserve diagnostic function as a secondary descriptor.,PAGE_BODY_PARITY_READ_OAI_PENDING,HARVEST_WITH_WARNING,"Material authority, manifestation, title, date, lifecycle, or bibliographic-type condition must remain explicit.",R3,NORMALIZATION_REQUIRED,Diagnostic probe,Scholarly essay / critical theory / platform studies,NO_CONFLICT_OBSERVED,Johannes Sigil,Johannes Sigil,MATCH,NO_CONFLICT_OBSERVED,,,INLINE_PRIMARY_TEXT_PRESENT_OR_NOT_APPLICABLE,NO_MATERIAL_DATE_CONFLICT_OBSERVED,CURRENT_OR_NOT_APPLICABLE,FRONTMATTER_AND_IDENTITY_READ,Frozen static record metadata and rendered page projection were compared directly with the frozen work-bearing body at the same commit.,055429ac82edc967f09c4640ffd0b049cff78e6e,2026-08-01,"Project exact creator roles, title/version identity, manifestation state, lifecycle standing, license, and a compact audit capsule.",NO_CONFLICT_OBSERVED,ADD_NEW,[],"{""method_version"":""0.4"",""registration_field"":""registration_disposition"",""lifecycle_model"":""controlled_status_plus_note_basis_relations"",""checkpoint_model"":""immutable_20_record_checkpoint"",""compact_evidence_mode"":""decisive mismatch only; full source read retained"",""boundary"":""#359-#378""}",,,
